x_mm,z_mm
4.511824,1.638631
4.504888,1.737819
4.497952,1.837007
4.491016,1.936195
4.484080,2.035383
4.477144,2.134570
4.470208,2.233758
4.463272,2.332946
4.456336,2.432134
4.449401,2.531322
4.442465,2.630510
4.435529,2.729698
4.428593,2.828886
4.421657,2.928074
4.414721,3.027262
4.407785,3.126450
4.400849,3.225638
4.393913,3.324825
4.386977,3.424013
4.380042,3.523201
4.373106,3.622389
4.366170,3.721577
4.359234,3.820765
4.352298,3.919953
4.345362,4.019141
4.338426,4.118329
4.331490,4.217517
4.324554,4.316705
4.317619,4.415893
4.310683,4.515081
4.303747,4.614268
4.296811,4.713456
4.289875,4.812644
4.282939,4.911832
4.276003,5.011020
4.269067,5.110208
4.262131,5.209396
4.255195,5.308584
4.248260,5.407772
4.241324,5.506960
4.234388,5.606148
4.227452,5.705336
4.220516,5.804523
4.213580,5.903711
4.206644,6.002899
4.199708,6.102087
4.192772,6.201275
4.185837,6.300463
4.178901,6.399651
4.171965,6.498839
4.165029,6.598027
4.158093,6.697215
4.151157,6.796403
4.144221,6.895591
4.137285,6.994779
4.130349,7.093966
4.123413,7.193154
4.116478,7.292342
4.109542,7.391530
4.102606,7.490718
4.095670,7.589906
4.088734,7.689094
4.081798,7.788282
4.074862,7.887470
4.067926,7.986658
4.126422,7.990748
4.184918,7.994839
4.195765,8.079032
4.206612,8.163226
4.217459,8.247419
4.228306,8.331613
4.239153,8.415806
4.250000,8.500000
4.262838,8.600088
4.351891,8.576226
4.440944,8.552364
4.529997,8.528503
4.619051,8.504641
4.708104,8.480779
4.797157,8.456917
4.886211,8.433056
4.975264,8.409194
5.064317,8.385332
5.065998,8.481620
5.067679,8.577908
5.069359,8.674196
5.071040,8.770484
5.072721,8.866771
5.074401,8.963059
5.076082,9.059347
5.077763,9.155635
5.079443,9.251923
5.036978,9.341058
4.994513,9.430194
4.952048,9.519329
4.909583,9.608464
4.867118,9.697599
4.824653,9.786735
4.782188,9.875870
4.739723,9.965005
4.697258,10.054140
4.654793,10.143275
4.612328,10.232411
4.569863,10.321546
4.527398,10.410681
4.484933,10.499816
4.494826,10.593485
4.504622,10.687163
4.514319,10.780852
4.523918,10.874551
4.533420,10.968259
4.542823,11.061978
4.552128,11.155707
4.561335,11.249445
4.570443,11.343193
4.579454,11.436950
4.588367,11.530716
4.597181,11.624492
4.605897,11.718277
4.614516,11.812072
4.704368,11.791422
4.794220,11.770772
4.884073,11.750122
4.973925,11.729473
5.063778,11.708823
5.153630,11.688173
5.243482,11.667524
5.333335,11.646874
5.423187,11.626224
5.421411,11.722510
5.419634,11.818797
5.417857,11.915083
5.416080,12.011369
5.414304,12.107655
5.412527,12.203941
5.410750,12.300227
5.408973,12.396514
5.407197,12.492800
5.361559,12.580353
5.315922,12.667907
5.270285,12.755460
5.224648,12.843014
5.179010,12.930567
5.133373,13.018121
5.087736,13.105674
5.042098,13.193227
4.996461,13.280781
4.950824,13.368334
4.905187,13.455888
4.859549,13.543441
4.813912,13.630995
4.768275,13.718548
4.774799,13.812511
4.781226,13.906481
4.787554,14.000457
4.793783,14.094440
4.799915,14.188430
4.805948,14.282426
4.811882,14.376428
4.817718,14.470436
4.823456,14.564450
4.829095,14.658471
4.834636,14.752497
4.840079,14.846529
4.845423,14.940566
4.850669,15.034609
4.941204,15.017198
5.031740,14.999787
5.122276,14.982376
5.212812,14.964965
5.303348,14.947554
5.393883,14.930143
5.484419,14.912732
5.574955,14.895321
5.665491,14.877910
5.660259,14.974070
5.655027,15.070231
5.649795,15.166391
5.644563,15.262551
5.639331,15.358712
5.634099,15.454872
5.628867,15.551032
5.623635,15.647193
5.618403,15.743353
5.569653,15.829212
5.520902,15.915071
5.472151,16.000929
5.423401,16.086788
5.374650,16.172647
5.325899,16.258506
5.277149,16.344365
5.228398,16.430224
5.179647,16.516082
5.130896,16.601941
5.082146,16.687800
5.033395,16.773659
4.984644,16.859518
4.935894,16.945377
4.939041,17.039513
4.942090,17.133653
4.945041,17.227796
4.947893,17.321942
4.950646,17.416091
4.953301,17.510243
4.955857,17.604397
4.958315,17.698555
4.960675,17.792714
4.962935,17.886876
4.965098,17.981041
4.967161,18.075207
4.969126,18.169376
4.970993,18.263547
5.062095,18.249397
5.153198,18.235247
5.244300,18.221097
5.335402,18.206947
5.426505,18.192797
5.517607,18.178647
5.608710,18.164497
5.699812,18.150348
5.790915,18.136198
5.782234,18.232108
5.773554,18.328019
5.764874,18.423929
5.756193,18.519840
5.747513,18.615750
5.738833,18.711661
5.730152,18.807572
5.721472,18.903482
5.712792,18.999393
5.660990,19.083446
5.609189,19.167500
5.557388,19.251553
5.505586,19.335607
5.453785,19.419660
5.401984,19.503714
5.350183,19.587767
5.298381,19.671821
5.246580,19.755874
5.194779,19.839928
5.142977,19.923982
5.091176,20.008035
5.039375,20.092089
4.987574,20.176142
4.987340,20.270331
4.987008,20.364520
4.986577,20.458708
4.986048,20.552896
4.985420,20.647083
4.984693,20.741269
4.983868,20.835455
4.982945,20.929640
4.981922,21.023823
4.980802,21.118006
4.979582,21.212187
4.978264,21.306367
4.976848,21.400546
4.975333,21.494723
5.066884,21.483852
5.158436,21.472982
5.249988,21.462111
5.341539,21.451241
5.433091,21.440370
5.524643,21.429499
5.616194,21.418629
5.707746,21.407758
5.799297,21.396888
5.787180,21.492425
5.775062,21.587962
5.762945,21.683499
5.750827,21.779036
5.738710,21.874574
5.726592,21.970111
5.714475,22.065648
5.702357,22.161185
5.690239,22.256722
5.635454,22.338862
5.580669,22.421002
5.525884,22.503142
5.471099,22.585282
5.416314,22.667422
5.361529,22.749562
5.306744,22.831701
5.251959,22.913841
5.197174,22.995981
5.142388,23.078121
5.087603,23.160261
5.032818,23.242401
4.978033,23.324541
4.923248,23.406681
4.919633,23.500801
4.915920,23.594917
4.912109,23.689029
4.908199,23.783137
4.904191,23.877241
4.900084,23.971340
4.895878,24.065436
4.891574,24.159526
4.887172,24.253613
4.882671,24.347694
4.878072,24.441771
4.873374,24.535843
4.868578,24.629910
4.863683,24.723972
4.955566,24.716395
5.047449,24.708818
5.139332,24.701241
5.231214,24.693663
5.323097,24.686086
5.414980,24.678509
5.506863,24.670932
5.598746,24.663355
5.690629,24.655777
5.675089,24.750818
5.659550,24.845859
5.644011,24.940899
5.628472,25.035940
5.612933,25.130980
5.597394,25.226021
5.581854,25.321062
5.566315,25.416102
5.550776,25.511143
5.493078,25.591263
5.435379,25.671384
5.377681,25.751504
5.319983,25.831624
5.262285,25.911745
5.204586,25.991865
5.146888,26.071985
5.089190,26.152106
5.031491,26.232226
4.973793,26.312347
4.916095,26.392467
4.858396,26.472587
4.800698,26.552708
4.743000,26.632828
4.735586,26.732403
4.728061,26.831970
4.720426,26.931528
4.712681,27.031078
4.704825,27.130619
4.696859,27.230151
4.688782,27.329674
4.680595,27.429189
4.672297,27.528694
4.663889,27.628190
4.655371,27.727677
4.646743,27.827154
4.638003,27.926621
4.629154,28.026079
4.620194,28.125527
4.611124,28.224964
4.601944,28.324392
4.592653,28.423809
4.583252,28.523216
4.573741,28.622613
4.564120,28.721999
4.554388,28.821374
4.544546,28.920739
4.534594,29.020092
4.524531,29.119434
4.514359,29.218765
4.504076,29.318085
4.493683,29.417393
4.483179,29.516690
4.472566,29.615975
4.461843,29.715248
4.451009,29.814509
4.440065,29.913758
4.429011,30.012995
4.417847,30.112219
4.406573,30.211431
4.395189,30.310631
4.383695,30.409818
4.372091,30.508992
4.360377,30.608153
4.348552,30.707301
4.336618,30.806436
4.324574,30.905557
4.312420,31.004665
4.300156,31.103760
4.287782,31.202841
4.275298,31.301908
4.262704,31.400961
4.250000,31.500000
4.238288,31.590909
4.226576,31.681818
4.214863,31.772727
4.203151,31.863636
4.191439,31.954545
4.179727,32.045455
4.168015,32.136364
4.156303,32.227273
4.144590,32.318182
4.132878,32.409091
4.121166,32.500000
4.035583,32.500000
3.950000,32.500000
3.950000,32.600000
3.950000,32.700000
3.950000,32.800000
3.950000,32.900000
3.950000,33.000000
3.950000,33.100000
3.950000,33.200000
3.950000,33.300000
3.950000,33.400000
3.950000,33.500000
3.950000,33.600000
3.950000,33.700000
3.950000,33.800000
3.950000,33.900000
3.950000,34.000000
3.950000,34.100000
3.950000,34.200000
3.950000,34.300000
3.950000,34.400000
3.950000,34.500000
3.950000,34.600000
3.950000,34.700000
3.950000,34.800000
3.950000,34.900000
3.950000,35.000000
3.950000,35.100000
3.950000,35.200000
3.950000,35.300000
3.950000,35.400000
3.950000,35.500000
3.950000,35.600000
3.950000,35.700000
3.950000,35.800000
3.950000,35.900000
3.950000,36.000000
3.950000,36.100000
3.950000,36.200000
3.950000,36.300000
3.950000,36.400000
3.950000,36.500000
3.950000,36.600000
3.950000,36.700000
3.950000,36.800000
3.950000,36.900000
3.950000,37.000000
3.950000,37.100000
3.950000,37.200000
3.950000,37.300000
3.950000,37.400000
3.950000,37.500000
3.950000,37.600000
3.950000,37.700000
3.950000,37.800000
3.950000,37.900000
3.950000,38.000000
4.050000,38.000000
