x_mm,z_mm
-4.970993,18.263547
-4.969126,18.169376
-4.967161,18.075207
-4.965098,17.981041
-4.962935,17.886876
-4.960675,17.792714
-4.958315,17.698555
-4.955857,17.604397
-4.953301,17.510243
-4.950646,17.416091
-4.947893,17.321942
-4.945041,17.227796
-4.942090,17.133653
-4.939041,17.039513
-4.935894,16.945377
-4.984644,16.859518
-5.033395,16.773659
-5.082146,16.687800
-5.130896,16.601941
-5.179647,16.516082
-5.228398,16.430224
-5.277149,16.344365
-5.325899,16.258506
-5.374650,16.172647
-5.423401,16.086788
-5.472151,16.000929
-5.520902,15.915071
-5.569653,15.829212
-5.618403,15.743353
-5.623635,15.647193
-5.628867,15.551032
-5.634099,15.454872
-5.639331,15.358712
-5.644563,15.262551
-5.649795,15.166391
-5.655027,15.070231
-5.660259,14.974070
-5.665491,14.877910
-5.574955,14.895321
-5.484419,14.912732
-5.393883,14.930143
-5.303348,14.947554
-5.212812,14.964965
-5.122276,14.982376
-5.031740,14.999787
-4.941204,15.017198
-4.850669,15.034609
-4.845423,14.940566
-4.840079,14.846529
-4.834636,14.752497
-4.829095,14.658471
-4.823456,14.564450
-4.817718,14.470436
-4.811882,14.376428
-4.805948,14.282426
-4.799915,14.188430
-4.793783,14.094440
-4.787554,14.000457
-4.781226,13.906481
-4.774799,13.812511
-4.768275,13.718548
-4.813912,13.630995
-4.859549,13.543441
-4.905187,13.455888
-4.950824,13.368334
-4.996461,13.280781
-5.042098,13.193227
-5.087736,13.105674
-5.133373,13.018121
-5.179010,12.930567
-5.224648,12.843014
-5.270285,12.755460
-5.315922,12.667907
-5.361559,12.580353
-5.407197,12.492800
-5.408973,12.396514
-5.410750,12.300227
-5.412527,12.203941
-5.414304,12.107655
-5.416080,12.011369
-5.417857,11.915083
-5.419634,11.818797
-5.421411,11.722510
-5.423187,11.626224
-5.333335,11.646874
-5.243482,11.667524
-5.153630,11.688173
-5.063778,11.708823
-4.973925,11.729473
-4.884073,11.750122
-4.794220,11.770772
-4.704368,11.791422
-4.614516,11.812072
-4.605897,11.718277
-4.597181,11.624492
-4.588367,11.530716
-4.579454,11.436950
-4.570443,11.343193
-4.561335,11.249445
-4.552128,11.155707
-4.542823,11.061978
-4.533420,10.968259
-4.523918,10.874551
-4.514319,10.780852
-4.504622,10.687163
-4.494826,10.593485
-4.484933,10.499816
-4.527398,10.410681
-4.569863,10.321546
-4.612328,10.232411
-4.654793,10.143275
-4.697258,10.054140
-4.739723,9.965005
-4.782188,9.875870
-4.824653,9.786735
-4.867118,9.697599
-4.909583,9.608464
-4.952048,9.519329
-4.994513,9.430194
-5.036978,9.341058
-5.079443,9.251923
-5.077763,9.155635
-5.076082,9.059347
-5.074401,8.963059
-5.072721,8.866771
-5.071040,8.770484
-5.069359,8.674196
-5.067679,8.577908
-5.065998,8.481620
-5.064317,8.385332
-4.975264,8.409194
-4.886211,8.433056
-4.797157,8.456917
-4.708104,8.480779
-4.619051,8.504641
-4.529997,8.528503
-4.440944,8.552364
-4.351891,8.576226
-4.262838,8.600088
-4.250000,8.500000
-4.239153,8.415806
-4.228306,8.331613
-4.217459,8.247419
-4.206612,8.163226
-4.195765,8.079032
-4.184918,7.994839
-4.126422,7.990748
-4.067926,7.986658
-4.074862,7.887470
-4.081798,7.788282
-4.088734,7.689094
-4.095670,7.589906
-4.102606,7.490718
-4.109542,7.391530
-4.116478,7.292342
-4.123413,7.193154
-4.130349,7.093966
-4.137285,6.994779
-4.144221,6.895591
-4.151157,6.796403
-4.158093,6.697215
-4.165029,6.598027
-4.171965,6.498839
-4.178901,6.399651
-4.185837,6.300463
-4.192772,6.201275
-4.199708,6.102087
-4.206644,6.002899
-4.213580,5.903711
-4.220516,5.804523
-4.227452,5.705336
-4.234388,5.606148
-4.241324,5.506960
-4.248260,5.407772
-4.255195,5.308584
-4.262131,5.209396
-4.269067,5.110208
-4.276003,5.011020
-4.282939,4.911832
-4.289875,4.812644
-4.296811,4.713456
-4.303747,4.614268
-4.310683,4.515081
-4.317619,4.415893
-4.324554,4.316705
-4.331490,4.217517
-4.338426,4.118329
-4.345362,4.019141
-4.352298,3.919953
-4.359234,3.820765
-4.366170,3.721577
-4.373106,3.622389
-4.380042,3.523201
-4.386977,3.424013
-4.393913,3.324825
-4.400849,3.225638
-4.407785,3.126450
-4.414721,3.027262
-4.421657,2.928074
-4.428593,2.828886
-4.435529,2.729698
-4.442465,2.630510
-4.449401,2.531322
-4.456336,2.432134
-4.463272,2.332946
-4.470208,2.233758
-4.477144,2.134570
-4.484080,2.035383
-4.491016,1.936195
-4.497952,1.837007
-4.504888,1.737819
-4.511824,1.638631
-4.518759,1.539443
-4.525695,1.440255
-4.532631,1.341067
-4.539567,1.241879
-4.546503,1.142691
-4.553439,1.043503
-4.560375,0.944315
-4.567311,0.845128
-4.574247,0.745940
-4.581183,0.646752
-4.588118,0.547564
-4.595054,0.448376
-4.601990,0.349188
-4.608926,0.250000
-4.709170,0.250000
-4.714998,0.166667
-4.720825,0.083333
-4.726652,0.000000
-4.627144,0.000000
-4.527635,0.000000
-4.428127,0.000000
-4.328618,0.000000
-4.229110,0.000000
-4.129601,0.000000
-4.030093,0.000000
-3.930584,0.000000
-3.831076,0.000000
-3.731567,0.000000
-3.632059,0.000000
-3.532550,0.000000
-3.433042,0.000000
-3.333534,0.000000
-3.234025,0.000000
-3.134517,0.000000
-3.035008,0.000000
-2.935500,0.000000
-2.835991,0.000000
-2.736483,0.000000
-2.636974,0.000000
-2.537466,0.000000
-2.437957,0.000000
-2.338449,0.000000
-2.238940,0.000000
-2.139432,0.000000
-2.039923,0.000000
-1.940415,0.000000
-1.840907,0.000000
-1.741398,0.000000
-1.641890,0.000000
-1.542381,0.000000
-1.442873,0.000000
-1.343364,0.000000
-1.243856,0.000000
-1.144347,0.000000
-1.044839,0.000000
-0.945330,0.000000
-0.845822,0.000000
-0.746313,0.000000
-0.646805,0.000000
-0.547297,0.000000
-0.447788,0.000000
-0.348280,0.000000
-0.248771,0.000000
-0.149263,0.000000
-0.049754,0.000000
0.049754,0.000000
0.149263,0.000000
0.248771,0.000000
0.348280,0.000000
0.447788,0.000000
0.547297,0.000000
0.646805,0.000000
0.746313,0.000000
0.845822,0.000000
0.945330,0.000000
1.044839,0.000000
1.144347,0.000000
1.243856,0.000000
1.343364,0.000000
1.442873,0.000000
1.542381,0.000000
1.641890,0.000000
1.741398,0.000000
1.840907,0.000000
1.940415,0.000000
2.039923,0.000000
2.139432,0.000000
2.238940,0.000000
2.338449,0.000000
2.437957,0.000000
2.537466,0.000000
2.636974,0.000000
2.736483,0.000000
2.835991,0.000000
2.935500,0.000000
3.035008,0.000000
3.134517,0.000000
3.234025,0.000000
3.333534,0.000000
3.433042,0.000000
3.532550,0.000000
3.632059,0.000000
3.731567,0.000000
3.831076,0.000000
3.930584,0.000000
4.030093,0.000000
4.129601,0.000000
4.229110,0.000000
4.328618,0.000000
4.428127,0.000000
4.527635,0.000000
4.627144,0.000000
4.726652,0.000000
4.720825,0.083333
4.714998,0.166667
4.709170,0.250000
4.608926,0.250000
4.601990,0.349188
4.595054,0.448376
4.588118,0.547564
4.581183,0.646752
4.574247,0.745940
4.567311,0.845128
4.560375,0.944315
4.553439,1.043503
4.546503,1.142691
4.539567,1.241879
4.532631,1.341067
4.525695,1.440255
4.518759,1.539443
