x_um,z_um
3042.670417,7704.545455
3052.225348,7795.454545
3061.780278,7886.363636
3071.335209,7977.272727
3080.890139,8068.181818
3090.445070,8159.090909
3100.000000,8250.000000
3100.000000,8333.333333
3100.000000,8416.666667
3100.000000,8500.000000
3010.487664,8476.015242
2920.975329,8452.030484
2831.462993,8428.045726
2741.950658,8404.060968
2652.438322,8380.076210
2562.925987,8356.091452
2473.413651,8332.106694
2383.901316,8308.121936
2294.388980,8284.137178
2204.876644,8260.152420
2115.364309,8236.167662
2025.851973,8212.182904
1936.339638,8188.198146
1940.010431,8281.626061
1943.681223,8375.053975
1947.352016,8468.481890
1951.022809,8561.909805
1954.693602,8655.337720
1958.364394,8748.765635
1962.035187,8842.193550
1965.705980,8935.621465
1969.376773,9029.049380
1973.047566,9122.477295
2015.539185,9211.654393
2058.030805,9300.831491
2100.522425,9390.008589
2143.014044,9479.185688
2185.505664,9568.362786
2227.997284,9657.539884
2270.488904,9746.716982
2312.980523,9835.894081
2355.472143,9925.071179
2397.963763,10014.248277
2440.455383,10103.425375
2482.947002,10192.602474
2525.438622,10281.779572
2567.930242,10370.956670
2610.421862,10460.133768
2652.913481,10549.310867
2695.405101,10638.487965
2737.896721,10727.665063
2780.388341,10816.842162
2822.879960,10906.019260
2813.837936,10995.491708
2804.885317,11084.973147
2796.022113,11174.463487
2787.248333,11263.962638
2778.563984,11353.470511
2769.969076,11442.987017
2761.463617,11532.512066
2753.047616,11622.045570
2744.721082,11711.587437
2654.405473,11690.831290
2564.089865,11670.075143
2473.774256,11649.318995
2383.458647,11628.562848
2293.143038,11607.806700
2202.827430,11587.050553
2112.511821,11566.294405
2022.196212,11545.538258
1931.880604,11524.782110
1841.564995,11504.025963
1751.249386,11483.269815
1660.933778,11462.513668
1570.618169,11441.757520
1577.640303,11534.993456
1584.662438,11628.229391
1591.684572,11721.465326
1598.706706,11814.701261
1605.728841,11907.937197
1612.750975,12001.173132
1619.773110,12094.409067
1626.795244,12187.645003
1633.817378,12280.880938
1640.839513,12374.116873
1686.504867,12461.711211
1732.170221,12549.305549
1777.835575,12636.899887
1823.500929,12724.494225
1869.166283,12812.088563
1914.831637,12899.682901
1960.496991,12987.277239
2006.162345,13074.871577
2051.827700,13162.465915
2097.493054,13250.060252
2143.158408,13337.654590
2188.823762,13425.248928
2234.489116,13512.843266
2280.154470,13600.437604
2325.819824,13688.031942
2371.485178,13775.626280
2417.150532,13863.220618
2462.815886,13950.814956
2508.481240,14038.409294
2554.146594,14126.003632
2548.322119,14215.742992
2542.587314,14305.488127
2536.942185,14395.238948
2531.386738,14484.995364
2525.920979,14574.757287
2520.544913,14664.524626
2515.258546,14754.297292
2510.061881,14844.075196
2504.954926,14933.858247
2413.952457,14916.357464
2322.949988,14898.856680
2231.947518,14881.355897
2140.945049,14863.855114
2049.942580,14846.354331
1958.940110,14828.853547
1867.937641,14811.352764
1776.935172,14793.851981
1685.932703,14776.351198
1594.930233,14758.850414
1503.927764,14741.349631
1412.925295,14723.848848
1321.922825,14706.348065
1332.287250,14799.271844
1342.651675,14892.195623
1353.016100,14985.119402
1363.380525,15078.043181
1373.744949,15170.966960
1384.109374,15263.890738
1394.473799,15356.814517
1404.838224,15449.738296
1415.202649,15542.662075
1425.567074,15635.585854
1474.347301,15721.484527
1523.127529,15807.383200
1571.907757,15893.281872
1620.687985,15979.180545
1669.468213,16065.079218
1718.248441,16150.977890
1767.028669,16236.876563
1815.808897,16322.775236
1864.589125,16408.673908
1913.369353,16494.572581
1962.149581,16580.471254
2010.929809,16666.369926
2059.710037,16752.268599
2108.490265,16838.167272
2157.270493,16924.065944
2206.050721,17009.964617
2254.830949,17095.863289
2303.611177,17181.761962
2352.391405,17267.660635
2401.171632,17353.559307
2398.572213,17443.449909
2396.062613,17533.343064
2393.642836,17623.238681
2391.312885,17713.136670
2389.072760,17803.036944
2386.922465,17892.939410
2384.862003,17982.843981
2382.891373,18072.750565
2381.010580,18162.659073
2289.438548,18148.436212
2197.866516,18134.213351
2106.294484,18119.990489
2014.722452,18105.767628
1923.150420,18091.544767
1831.578388,18077.321905
1740.006356,18063.099044
1648.434324,18048.876183
1556.862292,18034.653321
1465.290260,18020.430460
1373.718228,18006.207599
1282.146196,17991.984737
1190.574164,17977.761876
1204.267520,18070.253724
1217.960876,18162.745573
1231.654232,18255.237421
1245.347588,18347.729269
1259.040944,18440.221118
1272.734300,18532.712966
1286.427656,18625.204814
1300.121012,18717.696663
1313.814368,18810.188511
1327.507724,18902.680359
1379.339950,18986.772647
1431.172177,19070.864935
1483.004403,19154.957223
1534.836629,19239.049511
1586.668856,19323.141799
1638.501082,19407.234087
1690.333309,19491.326375
1742.165535,19575.418663
1793.997761,19659.510952
1845.829988,19743.603240
1897.662214,19827.695528
1949.494441,19911.787816
2001.326667,19995.880104
2053.158893,20079.972392
2104.991120,20164.064680
2156.823346,20248.156968
2208.655573,20332.249256
2260.487799,20416.341544
2312.320025,20500.433832
2364.152252,20584.526120
2364.781239,20674.452099
2365.500079,20764.377404
2366.308773,20854.301946
2367.207320,20944.225636
2368.195717,21034.148382
2369.273965,21124.070096
2370.442063,21213.990688
2371.700009,21303.910068
2373.047802,21393.828145
2281.024239,21382.901539
2189.000676,21371.974932
2096.977114,21361.048325
2004.953551,21350.121718
1912.929988,21339.195111
1820.906425,21328.268505
1728.882863,21317.341898
1636.859300,21306.415291
1544.835737,21295.488684
1452.812175,21284.562077
1360.788612,21273.635471
1268.765049,21262.708864
1176.741486,21251.782257
1193.746123,21343.722957
1210.750761,21435.663657
1227.755398,21527.604357
1244.760035,21619.545057
1261.764672,21711.485757
1278.769309,21803.426457
1295.773946,21895.367157
1312.778583,21987.307857
1329.783220,22079.248557
1346.787857,22171.189257
1401.605273,22253.366769
1456.422688,22335.544282
1511.240104,22417.721794
1566.057519,22499.899307
1620.874935,22582.076819
1675.692351,22664.254332
1730.509766,22746.431844
1785.327182,22828.609357
1840.144597,22910.786869
1894.962013,22992.964381
1949.779428,23075.141894
2004.596844,23157.319406
2059.414260,23239.496919
2114.231675,23321.674431
2169.049091,23403.851944
2223.866506,23486.029456
2278.683922,23568.206969
2333.501337,23650.384481
2388.318753,23732.561994
2443.136169,23814.739506
2446.992751,23904.584951
2450.939106,23994.426498
2454.975228,24084.264057
2459.101114,24174.097538
2463.316760,24263.926852
2467.622161,24353.751909
2472.017314,24443.572618
2476.502213,24533.388892
2481.076855,24623.200639
2388.720376,24615.584371
2296.363896,24607.968102
2204.007417,24600.351834
